desc,zip,title,address,towns,dt,date,time
BRADFIELD RD & SUSQUEHANNA RD; ABINGTON; 2020-01-01 @ 00:04:06,19001,Fire: FIRE ALARM,BRADFIELD RD & SUSQUEHANNA RD, ABINGTON, 2020-01-01 @ 00:04:06, 2020-01-01 , 00:04:06
ALEXIS DR & BETH DR;  LOWER GWYNEDD; 2020-01-14 @ 17:53:48,19002,EMS: ALLERGIC REACTION,ALEXIS DR & BETH DR,  LOWER GWYNEDD, 2020-01-14 @ 17:53:48, 2020-01-14 , 17:53:48
DEPOT ST & W 4TH ST;  BRIDGEPORT; 2020-01-14 @ 17:55:13,19405,EMS: ANIMAL BITE,DEPOT ST & W 4TH ST,  BRIDGEPORT, 2020-01-14 @ 17:55:13, 2020-01-14 , 17:55:13
BLAIR MILL RD & CRESTVIEW RD; UPPER MORELAND; 2020-01-14 @ 17:45:32,19040,Traffic: VEHICLE ACCIDENT,BLAIR MILL RD & CRESTVIEW RD, UPPER MORELAND, 2020-01-14 @ 17:45:32, 2020-01-14 , 17:45:32
HUNTINGDON PIKE & SHADY LN;  ABINGTON; 2020-01-14 @ 18:00:49,19046,EMS: FALL VICTIM,HUNTINGDON PIKE & SHADY LN,  ABINGTON, 2020-01-14 @ 18:00:49, 2020-01-14 , 18:00:49
DOYLESTOWN PIKE & COWPATH RD; MONTGOMERY; 2020-01-14 @ 17:59:25,NA,Traffic: DISABLED VEHICLE,DOYLESTOWN PIKE & COWPATH RD, MONTGOMERY, 2020-01-14 @ 17:59:25, 2020-01-14 , 17:59:25
MAIN ST & 4TH ST; PENNSBURG; 2020-01-14 @ 18:00:30,18076,Traffic: DISABLED VEHICLE,MAIN ST & 4TH ST, PENNSBURG, 2020-01-14 @ 18:00:30, 2020-01-14 , 18:00:30
RT422  & RAMP RT29 TO RT422 EB; UPPER PROVIDENCE; 2020-01-14 @ 18:00:56,NA,Traffic: VEHICLE ACCIDENT,RT422  & RAMP RT29 TO RT422 EB, UPPER PROVIDENCE, 2020-01-14 @ 18:00:56, 2020-01-14 , 18:00:56
RAMP RT29 TO RT422  & S COLLEGEVILLE RD; UPPER PROVIDENCE; 2020-01-14 @ 18:02:41,NA,Traffic: VEHICLE ACCIDENT,RAMP RT29 TO RT422  & S COLLEGEVILLE RD, UPPER PROVIDENCE, 2020-01-14 @ 18:02:41, 2020-01-14 , 18:02:41
SALEM DR & HILLSIDE DR;  LANSDALE; 2020-01-14 @ 18:06:46,19446,EMS: FALL VICTIM,SALEM DR & HILLSIDE DR,  LANSDALE, 2020-01-14 @ 18:06:46, 2020-01-14 , 18:06:46
DIAMOND PL & RIVERFRONT DR;  ROYERSFORD; 2020-01-14 @ 18:08:06,19468,EMS: FALL VICTIM,DIAMOND PL & RIVERFRONT DR,  ROYERSFORD, 2020-01-14 @ 18:08:06, 2020-01-14 , 18:08:06
DEKALB PIKE & S HENDERSON RD; UPPER MERION; 2020-01-14 @ 18:08:25,19406,Traffic: VEHICLE ACCIDENT,DEKALB PIKE & S HENDERSON RD, UPPER MERION, 2020-01-14 @ 18:08:25, 2020-01-14 , 18:08:25
EVANSBURG RD & GERMANTOWN PIKE; LOWER PROVIDENCE; 2020-01-14 @ 18:10:42,19426,Traffic: VEHICLE ACCIDENT,EVANSBURG RD & GERMANTOWN PIKE, LOWER PROVIDENCE, 2020-01-14 @ 18:10:42, 2020-01-14 , 18:10:42
ROYAL AVE AND BICKLEY RD; CHELTENHAM; 2020-01-14 @ 18:19:12,19095,Fire: FIRE ALARM,ROYAL AVE & BICKLEY RD, CHELTENHAM, 2020-01-14 @ 18:19:12, 2020-01-14 , 18:19:12
BYBERRY RD & VILLAGE CIR;  UPPER MORELAND; 2020-01-14 @ 18:19:47,19040,EMS: ALTERED MENTAL STATUS,BYBERRY RD & VILLAGE CIR,  UPPER MORELAND, 2020-01-14 @ 18:19:47, 2020-01-14 , 18:19:47
SKIPPACK PIKE & WENTZ CHURCH RD; WORCESTER; 2020-01-14 @ 18:23:53,19446,Traffic: VEHICLE ACCIDENT,SKIPPACK PIKE & WENTZ CHURCH RD, WORCESTER, 2020-01-14 @ 18:23:53, 2020-01-14 , 18:23:53
KING ST & CUSTER CT; POTTSTOWN; 2020-01-14 @ 18:30:05,19464,Fire: BURN VICTIM,KING ST & CUSTER CT, POTTSTOWN, 2020-01-14 @ 18:30:05, 2020-01-14 , 18:30:05
KING ST & CUSTER CT;  POTTSTOWN; 2020-01-14 @ 18:30:12,19464,EMS: BURN VICTIM,KING ST & CUSTER CT,  POTTSTOWN, 2020-01-14 @ 18:30:12, 2020-01-14 , 18:30:12
TRIEBEL RD & ROTHLEY AVE; ABINGTON; 2020-01-14 @ 18:29:25,19001,Traffic: VEHICLE ACCIDENT,TRIEBEL RD & ROTHLEY AVE, ABINGTON, 2020-01-14 @ 18:29:25, 2020-01-14 , 18:29:25
EASTON RD & PARK AVE; UPPER MORELAND; 2020-01-14 @ 18:33:37,19090,Traffic: DISABLED VEHICLE,EASTON RD & PARK AVE, UPPER MORELAND, 2020-01-14 @ 18:33:37, 2020-01-14 , 18:33:37
NOLEN RD & FERNWOOD AVE;  ABINGTON; 2020-01-14 @ 18:37:09,19001,EMS: CARDIAC EMERGENCY,NOLEN RD & FERNWOOD AVE,  ABINGTON, 2020-01-14 @ 18:37:09, 2020-01-14 , 18:37:09
CRICKET RD & STENTON AVE;  WHITEMARSH; 2020-01-14 @ 18:36:43,19444,EMS: CVA/STROKE,CRICKET RD & STENTON AVE,  WHITEMARSH, 2020-01-14 @ 18:36:43, 2020-01-14 , 18:36:43
CRICKET AVE & SPRUCE AVE;  ABINGTON; 2020-01-14 @ 18:38:26,19038,EMS: FEVER,CRICKET AVE & SPRUCE AVE,  ABINGTON, 2020-01-14 @ 18:38:26, 2020-01-14 , 18:38:26
RT422 BYP & RAMP ARMAND HAMMER TO RT422 EB; LOWER POTTSGROVE; 2020-01-14 @ 18:42:31,NA,Fire: VEHICLE FIRE,RT422 BYP & RAMP ARMAND HAMMER TO RT422 EB, LOWER POTTSGROVE, 2020-01-14 @ 18:42:31, 2020-01-14 , 18:42:31
RT422 BYP & RAMP ARMAND HAMMER TO RT422 EB; LOWER POTTSGROVE; 2020-01-14 @ 18:41:00,NA,Traffic: VEHICLE FIRE,RT422 BYP & RAMP ARMAND HAMMER TO RT422 EB, LOWER POTTSGROVE, 2020-01-14 @ 18:41:00, 2020-01-14 , 18:41:00
VANDENBURG RD & W BEIDLER RD;  UPPER MERION; 2020-01-14 @ 18:47:46,19406,EMS: VEHICLE ACCIDENT,VANDENBURG RD & W BEIDLER RD,  UPPER MERION, 2020-01-14 @ 18:47:46, 2020-01-14 , 18:47:46
ALLENDALE RD & GEERDES BLVD; UPPER MERION; 2020-01-14 @ 18:49:56,19406,Traffic: VEHICLE ACCIDENT,ALLENDALE RD & GEERDES BLVD, UPPER MERION, 2020-01-14 @ 18:49:56, 2020-01-14 , 18:49:56
SKIPPACK PIKE & PENLLYN BLUE BELL PIKE; WHITPAIN; 2020-01-14 @ 18:49:22,19422,Traffic: VEHICLE ACCIDENT,SKIPPACK PIKE & PENLLYN BLUE BELL PIKE, WHITPAIN, 2020-01-14 @ 18:49:22, 2020-01-14 , 18:49:22
VANDENBURG RD & W BEIDLER RD; UPPER MERION; 2020-01-14 @ 18:47:48,19406,Traffic: VEHICLE ACCIDENT,VANDENBURG RD & W BEIDLER RD, UPPER MERION, 2020-01-14 @ 18:47:48, 2020-01-14 , 18:47:48
COVENTRY AVE & VALLEY RD; CHELTENHAM; 2020-01-14 @ 18:54:01,19027,Traffic: VEHICLE ACCIDENT,COVENTRY AVE & VALLEY RD, CHELTENHAM, 2020-01-14 @ 18:54:01, 2020-01-14 , 18:54:01
RIDGE PIKE & BARREN HILL RD; WHITEMARSH; 2020-01-14 @ 19:00:17,19444,Fire: FIRE ALARM,RIDGE PIKE & BARREN HILL RD, WHITEMARSH, 2020-01-14 @ 19:00:17, 2020-01-14 , 19:00:17
EAGLEVILLE RD AND SUNDERLAND DR;  LOWER PROVIDENCE; 2020-01-14 @ 18:56:59,19403,EMS: RESPIRATORY EMERGENCY,EAGLEVILLE RD & SUNDERLAND DR,  LOWER PROVIDENCE, 2020-01-14 @ 18:56:59, 2020-01-14 , 18:56:59
GROSSER RD & RT100 NB;  DOUGLASS; 2020-01-14 @ 18:58:59,NA,EMS: UNKNOWN MEDICAL EMERGENCY,GROSSER RD & RT100 NB,  DOUGLASS, 2020-01-14 @ 18:58:59, 2020-01-14 , 18:58:59
MORRIS AVE & W MONTGOMERY AVE; LOWER MERION; 2020-01-14 @ 18:58:04,19010,Traffic: DISABLED VEHICLE,MORRIS AVE & W MONTGOMERY AVE, LOWER MERION, 2020-01-14 @ 18:58:04, 2020-01-14 , 18:58:04
CHURCH RD & BICKLEY RD; CHELTENHAM; 2020-01-14 @ 19:01:04,19038,Fire: GASODOR/LEAK,CHURCH RD & BICKLEY RD, CHELTENHAM, 2020-01-14 @ 19:01:04, 2020-01-14 , 19:01:04
HORSHAM RD & NORRISTOWN RD;  HORSHAM; 2020-01-14 @ 19:02:02,19044,EMS: CARDIAC ARREST,HORSHAM RD & NORRISTOWN RD,  HORSHAM, 2020-01-14 @ 19:02:02, 2020-01-14 , 19:02:02
YORK RD & LAKEVUE DR;  UPPER MORELAND; 2020-01-14 @ 19:14:42,19090,EMS: HEAD INJURY,YORK RD & LAKEVUE DR,  UPPER MORELAND, 2020-01-14 @ 19:14:42, 2020-01-14 , 19:14:42
PARK AVE & MORELAND RD;  UPPER MORELAND; 2020-01-14 @ 19:13:45,19090,EMS: UNKNOWN MEDICAL EMERGENCY,PARK AVE & MORELAND RD,  UPPER MORELAND, 2020-01-14 @ 19:13:45, 2020-01-14 , 19:13:45
LEWIS RD & ROYERSFORD RD; LIMERICK; 2020-01-14 @ 19:14:10,19468,Traffic: VEHICLE ACCIDENT,LEWIS RD & ROYERSFORD RD, LIMERICK, 2020-01-14 @ 19:14:10, 2020-01-14 , 19:14:10
EARL LN & WOODLAND AVE;  HATBORO; 2020-01-14 @ 19:21:55,19040,EMS: GENERAL WEAKNESS,EARL LN & WOODLAND AVE,  HATBORO, 2020-01-14 @ 19:21:55, 2020-01-14 , 19:21:55
KING ST & PENN ST; POTTSTOWN; 2020-01-14 @ 19:27:18,19464,Fire: FIRE ALARM,KING ST & PENN ST, POTTSTOWN, 2020-01-14 @ 19:27:18, 2020-01-14 , 19:27:18
KENT RD & WELSH RD;  LOWER MORELAND; 2020-01-14 @ 19:33:45,19006,EMS: FALL VICTIM,KENT RD & WELSH RD,  LOWER MORELAND, 2020-01-14 @ 19:33:45, 2020-01-14 , 19:33:45
MORELAND AVE & S YORK RD;  HATBORO; 2020-01-14 @ 19:34:14,19040,EMS: RESPIRATORY EMERGENCY,MORELAND AVE & S YORK RD,  HATBORO, 2020-01-14 @ 19:34:14, 2020-01-14 , 19:34:14
BRIDGE RD & SERENDIPITY WAY;  SKIPPACK; 2020-01-14 @ 19:33:22,19473,EMS: EMS SPECIAL SERVICE,BRIDGE RD & SERENDIPITY WAY,  SKIPPACK, 2020-01-14 @ 19:33:22, 2020-01-14 , 19:33:22
LINE ST & COWPATH RD;  HATFIELD TOWNSHIP; 2020-01-14 @ 19:31:16,19446,EMS: SUBJECT IN PAIN,LINE ST & COWPATH RD,  HATFIELD TOWNSHIP, 2020-01-14 @ 19:31:16, 2020-01-14 , 19:31:16
ARGYLE RD & LINWOOD AVE; LOWER MERION; 2020-01-14 @ 19:37:38,19003,Traffic: VEHICLE ACCIDENT,ARGYLE RD & LINWOOD AVE, LOWER MERION, 2020-01-14 @ 19:37:38, 2020-01-14 , 19:37:38
DEKALB PIKE & CONNECTING ROAD; UPPER MERION; 2020-01-14 @ 19:37:14,NA,Traffic: VEHICLE ACCIDENT,DEKALB PIKE & CONNECTING ROAD, UPPER MERION, 2020-01-14 @ 19:37:14, 2020-01-14 , 19:37:14
DEKALB PIKE & PLYMOUTH RD; LOWER GWYNEDD; 2020-01-14 @ 19:44:31,19002,Traffic: VEHICLE ACCIDENT,DEKALB PIKE & PLYMOUTH RD, LOWER GWYNEDD, 2020-01-14 @ 19:44:31, 2020-01-14 , 19:44:31
NORRISTOWN RD & TENNIS AVE;  LOWER GWYNEDD; 2020-01-14 @ 19:51:57,19002,EMS: CARDIAC EMERGENCY,NORRISTOWN RD & TENNIS AVE,  LOWER GWYNEDD, 2020-01-14 @ 19:51:57, 2020-01-14 , 19:51:57
CHELTENHAM AVE & E UPSAL ST;  CHELTENHAM; 2020-01-14 @ 19:52:28,19150,EMS: UNKNOWN MEDICAL EMERGENCY,CHELTENHAM AVE & E UPSAL ST,  CHELTENHAM, 2020-01-14 @ 19:52:28, 2020-01-14 , 19:52:28
HICKORY DR & SPRUCE DR;  HATFIELD TOWNSHIP; 2020-01-14 @ 19:54:51,19440,EMS: ABDOMINAL PAINS,HICKORY DR & SPRUCE DR,  HATFIELD TOWNSHIP, 2020-01-14 @ 19:54:51, 2020-01-14 , 19:54:51
E PENNSYLVANIA AVE;  SPRINGFIELD; 2020-01-14 @ 19:53:01,19082,EMS: VEHICLE ACCIDENT,E PENNSYLVANIA AVE,  SPRINGFIELD, 2020-01-14 @ 19:53:01, 2020-01-14 , 19:53:01
E PENNSYLVANIA AVE & BRIDGE ST; SPRINGFIELD; 2020-01-14 @ 19:52:38,19075,Traffic: VEHICLE ACCIDENT,E PENNSYLVANIA AVE & BRIDGE ST, SPRINGFIELD, 2020-01-14 @ 19:52:38, 2020-01-14 , 19:52:38
GERMANTOWN PIKE & HANNAH AVE;  EAST NORRITON; 2020-01-14 @ 19:58:07,19401,EMS: ALTERED MENTAL STATUS,GERMANTOWN PIKE & HANNAH AVE,  EAST NORRITON, 2020-01-14 @ 19:58:07, 2020-01-14 , 19:58:07
COUNTY LINE RD & SPRING MILL RD; LOWER MERION; 2020-01-14 @ 20:05:23,19085,Traffic: DISABLED VEHICLE,COUNTY LINE RD & SPRING MILL RD, LOWER MERION, 2020-01-14 @ 20:05:23, 2020-01-14 , 20:05:23
E MARSHALL ST & SWEDE ST; NORRISTOWN; 2020-01-14 @ 20:02:29,19401,Traffic: VEHICLE ACCIDENT,E MARSHALL ST & SWEDE ST, NORRISTOWN, 2020-01-14 @ 20:02:29, 2020-01-14 , 20:02:29
VANDENBURG RD & W BEIDLER RD; UPPER MERION; 2020-01-14 @ 20:06:22,19406,Traffic: VEHICLE ACCIDENT,VANDENBURG RD & W BEIDLER RD, UPPER MERION, 2020-01-14 @ 20:06:22, 2020-01-14 , 20:06:22
GERMANTOWN PIKE & WALTON RD; PLYMOUTH; 2020-01-14 @ 20:06:56,19462,Fire: BUILDING FIRE,GERMANTOWN PIKE & WALTON RD, PLYMOUTH, 2020-01-14 @ 20:06:56, 2020-01-14 , 20:06:56
BELL LN & N LIMEKILN PIKE;  UPPER DUBLIN; 2020-01-14 @ 20:32:46,19002,EMS: GENERAL WEAKNESS,BELL LN & N LIMEKILN PIKE,  UPPER DUBLIN, 2020-01-14 @ 20:32:46, 2020-01-14 , 20:32:46
SCHUYLKILL EXPY & RAMP RT202 NB TO I76 EB; UPPER MERION; 2020-01-14 @ 20:36:39,NA,Traffic: DISABLED VEHICLE,SCHUYLKILL EXPY & RAMP RT202 NB TO I76 EB, UPPER MERION, 2020-01-14 @ 20:36:39, 2020-01-14 , 20:36:39
SCHUYLKILL EXPY AND RAMP RT202 NB TO I76 EB; UPPER MERION; 2020-01-14 @ 20:36:41,NA,Traffic: DISABLED VEHICLE,SCHUYLKILL EXPY & RAMP RT202 NB TO I76 EB, UPPER MERION, 2020-01-14 @ 20:36:41, 2020-01-14 , 20:36:41
UPPER VALLEY RD & LETITIA LN;  UPPER GWYNEDD; 2020-01-14 @ 20:42:28,19454,EMS: RESPIRATORY EMERGENCY,UPPER VALLEY RD & LETITIA LN,  UPPER GWYNEDD, 2020-01-14 @ 20:42:28, 2020-01-14 , 20:42:28
DEKALB PIKE & BLUE BELL SPRINGS DR; WHITPAIN; 2020-01-14 @ 20:42:58,19422,Traffic: VEHICLE ACCIDENT,DEKALB PIKE & BLUE BELL SPRINGS DR, WHITPAIN, 2020-01-14 @ 20:42:58, 2020-01-14 , 20:42:58
MAIN ST & CHURCH ST;  PENNSBURG; 2020-01-14 @ 20:48:29,18041,EMS: FALL VICTIM,MAIN ST & CHURCH ST,  PENNSBURG, 2020-01-14 @ 20:48:29, 2020-01-14 , 20:48:29
HAYES RD & PIERCE RD;  EAST NORRITON; 2020-01-14 @ 21:04:50,19403,EMS: SYNCOPAL EPISODE,HAYES RD & PIERCE RD,  EAST NORRITON, 2020-01-14 @ 21:04:50, 2020-01-14 , 21:04:50
KENNEDY RD & ROOSEVELT WAY;  MONTGOMERY; 2020-01-14 @ 21:06:23,19454,EMS: HEMORRHAGING,KENNEDY RD & ROOSEVELT WAY,  MONTGOMERY, 2020-01-14 @ 21:06:23, 2020-01-14 , 21:06:23
MILL ST & ENGLESVILLE RD;  DOUGLASS; 2020-01-14 @ 21:14:33,19512,EMS: FALL VICTIM,MILL ST & ENGLESVILLE RD,  DOUGLASS, 2020-01-14 @ 21:14:33, 2020-01-14 , 21:14:33
HAWS LN & FRASER RD;  SPRINGFIELD; 2020-01-14 @ 21:17:14,19038,EMS: DIABETIC EMERGENCY,HAWS LN & FRASER RD,  SPRINGFIELD, 2020-01-14 @ 21:17:14, 2020-01-14 , 21:17:14
BLAIR MILL RD AND HORSHAM RD; UPPER MORELAND; 2020-01-14 @ 21:18:44,19044,Traffic: DISABLED VEHICLE,BLAIR MILL RD & HORSHAM RD, UPPER MORELAND, 2020-01-14 @ 21:18:44, 2020-01-14 , 21:18:44
HIGHLAND AVE & HIGHLAND CIR; LOWER MERION; 2020-01-14 @ 21:22:54,19004,Fire: FIRE ALARM,HIGHLAND AVE & HIGHLAND CIR, LOWER MERION, 2020-01-14 @ 21:22:54, 2020-01-14 , 21:22:54
HAWS AVE & W ELM ST;  NORRISTOWN; 2020-01-14 @ 21:25:31,19401,EMS: CARDIAC EMERGENCY,HAWS AVE & W ELM ST,  NORRISTOWN, 2020-01-14 @ 21:25:31, 2020-01-14 , 21:25:31
HAWS LN & BETHLEHEM PIKE;  SPRINGFIELD; 2020-01-14 @ 21:30:51,19031,EMS: FRACTURE,HAWS LN & BETHLEHEM PIKE,  SPRINGFIELD, 2020-01-14 @ 21:30:51, 2020-01-14 , 21:30:51
EDGEHILL RD & OVERLOOK AVE;  UPPER MORELAND; 2020-01-14 @ 21:45:32,19090,EMS: FALL VICTIM,EDGEHILL RD & OVERLOOK AVE,  UPPER MORELAND, 2020-01-14 @ 21:45:32, 2020-01-14 , 21:45:32
REID DR & WOODLAND LN;  LOWER PROVIDENCE; 2020-01-14 @ 21:42:39,19403,EMS: ALTERED MENTAL STATUS,REID DR & WOODLAND LN,  LOWER PROVIDENCE, 2020-01-14 @ 21:42:39, 2020-01-14 , 21:42:39
PENNCO RD & STATION AVE;  UPPER PROVIDENCE; 2020-01-14 @ 21:47:10,19460,EMS: HEAD INJURY,PENNCO RD & STATION AVE,  UPPER PROVIDENCE, 2020-01-14 @ 21:47:10, 2020-01-14 , 21:47:10
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-14 @ 21:48:08,19403,EMS: MEDICAL ALERT ALARM,SHANNONDELL DR & SHANNONDELL BLVD,  LOWER PROVIDENCE, 2020-01-14 @ 21:48:08, 2020-01-14 , 21:48:08
YORK RD & CHERRY ST; UPPER MORELAND; 2020-01-14 @ 21:49:42,19090,Fire: FIRE INVESTIGATION,YORK RD & CHERRY ST, UPPER MORELAND, 2020-01-14 @ 21:49:42, 2020-01-14 , 21:49:42
HONEYSUCKLE LN & CHERRY LN;  UPPER PROVIDENCE; 2020-01-14 @ 21:54:08,19426,EMS: CVA/STROKE,HONEYSUCKLE LN & CHERRY LN,  UPPER PROVIDENCE, 2020-01-14 @ 21:54:08, 2020-01-14 , 21:54:08
LEIDY RD & HARRINGTON WAY; FRANCONIA; 2020-01-14 @ 21:57:50,18964,Traffic: VEHICLE ACCIDENT,LEIDY RD & HARRINGTON WAY, FRANCONIA, 2020-01-14 @ 21:57:50, 2020-01-14 , 21:57:50
BLAIR MILL RD & W MORELAND AVE;  UPPER MORELAND; 2020-01-14 @ 22:01:26,19044,EMS: SEIZURES,BLAIR MILL RD & W MORELAND AVE,  UPPER MORELAND, 2020-01-14 @ 22:01:26, 2020-01-14 , 22:01:26
5TH AVE & W MAIN ST; TRAPPE; 2020-01-14 @ 22:03:35,19426,Fire: FIRE INVESTIGATION,5TH AVE & W MAIN ST, TRAPPE, 2020-01-14 @ 22:03:35, 2020-01-14 , 22:03:35
RIDGE PIKE & NORTHWESTERN AVE;  SPRINGFIELD; 2020-01-14 @ 22:22:40,19128,EMS: DIABETIC EMERGENCY,RIDGE PIKE & NORTHWESTERN AVE,  SPRINGFIELD, 2020-01-14 @ 22:22:40, 2020-01-14 , 22:22:40
NEW HOPE ST & SAW MILL CT;  EAST NORRITON; 2020-01-14 @ 22:25:38,19401,EMS: HEAD INJURY,NEW HOPE ST & SAW MILL CT,  EAST NORRITON, 2020-01-14 @ 22:25:38, 2020-01-14 , 22:25:38
FERGUSON LN & MARA DR;  WHITPAIN; 2020-01-14 @ 22:29:53,19422,EMS: FALL VICTIM,FERGUSON LN & MARA DR,  WHITPAIN, 2020-01-14 @ 22:29:53, 2020-01-14 , 22:29:53
FAIRGROUNDS RD & FISCHER RD; HATFIELD TOWNSHIP; 2020-01-14 @ 22:39:18,19440,Traffic: VEHICLE ACCIDENT,FAIRGROUNDS RD & FISCHER RD, HATFIELD TOWNSHIP, 2020-01-14 @ 22:39:18, 2020-01-14 , 22:39:18
PINE RD & CLIFFWOOD RD; LOWER MORELAND; 2020-01-14 @ 22:36:40,19006,Traffic: VEHICLE ACCIDENT,PINE RD & CLIFFWOOD RD, LOWER MORELAND, 2020-01-14 @ 22:36:40, 2020-01-14 , 22:36:40
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-14 @ 22:41:49,19403,EMS: FALL VICTIM,SHANNONDELL DR & SHANNONDELL BLVD,  LOWER PROVIDENCE, 2020-01-14 @ 22:41:49, 2020-01-14 , 22:41:49
FAIRGROUNDS RD & FISCHER RD;  HATFIELD TOWNSHIP; 2020-01-14 @ 22:42:26,19440,EMS: VEHICLE ACCIDENT,FAIRGROUNDS RD & FISCHER RD,  HATFIELD TOWNSHIP, 2020-01-14 @ 22:42:26, 2020-01-14 , 22:42:26
FAIRGROUNDS RD & FISCHER RD; HATFIELD TOWNSHIP; 2020-01-14 @ 22:42:42,19440,Fire: VEHICLE ACCIDENT,FAIRGROUNDS RD & FISCHER RD, HATFIELD TOWNSHIP, 2020-01-14 @ 22:42:42, 2020-01-14 , 22:42:42
W MORELAND RD & PARK AVE; UPPER MORELAND; 2020-01-14 @ 22:50:56,19090,Traffic: DISABLED VEHICLE,W MORELAND RD & PARK AVE, UPPER MORELAND, 2020-01-14 @ 22:50:56, 2020-01-14 , 22:50:56
PARKSIDE AVE & LINDEN AVE;  UPPER MORELAND; 2020-01-14 @ 22:54:32,19040,EMS: NAUSEA/VOMITING,PARKSIDE AVE & LINDEN AVE,  UPPER MORELAND, 2020-01-14 @ 22:54:32, 2020-01-14 , 22:54:32
W MORELAND RD & PARK AVE; UPPER MORELAND; 2020-01-14 @ 22:57:09,19090,Traffic: DISABLED VEHICLE,W MORELAND RD & PARK AVE, UPPER MORELAND, 2020-01-14 @ 22:57:09, 2020-01-14 , 22:57:09
EASTON RD & LAUREL AVE;  HORSHAM; 2020-01-14 @ 22:57:39,19044,EMS: NAUSEA/VOMITING,EASTON RD & LAUREL AVE,  HORSHAM, 2020-01-14 @ 22:57:39, 2020-01-14 , 22:57:39
PENNCO RD & STATION AVE;  UPPER PROVIDENCE; 2020-01-14 @ 23:03:19,19460,EMS: CARDIAC EMERGENCY,PENNCO RD & STATION AVE,  UPPER PROVIDENCE, 2020-01-14 @ 23:03:19, 2020-01-14 , 23:03:19
LAKESIDE RD & MIDFIELD RD;  LOWER MERION; 2020-01-14 @ 23:15:43,19003,EMS: DEHYDRATION,LAKESIDE RD & MIDFIELD RD,  LOWER MERION, 2020-01-14 @ 23:15:43, 2020-01-14 , 23:15:43
BEECH ST & MANATAWNY ST;  POTTSTOWN; 2020-01-14 @ 23:14:45,19464,EMS: SUBJECT IN PAIN,BEECH ST & MANATAWNY ST,  POTTSTOWN, 2020-01-14 @ 23:14:45, 2020-01-14 , 23:14:45
HUNTERS LN & HEATHER RD;  SPRINGFIELD; 2020-01-14 @ 23:18:05,19075,EMS: DEHYDRATION,HUNTERS LN & HEATHER RD,  SPRINGFIELD, 2020-01-14 @ 23:18:05, 2020-01-14 , 23:18:05
PIONEER RD & ORANGEMANS RD;  UPPER MORELAND; 2020-01-14 @ 23:16:18,19040,EMS: FRACTURE,PIONEER RD & ORANGEMANS RD,  UPPER MORELAND, 2020-01-14 @ 23:16:18, 2020-01-14 , 23:16:18
HIGH ST & N BAILEY ST;  POTTSTOWN; 2020-01-14 @ 23:22:36,19464,EMS: FEVER,HIGH ST & N BAILEY ST,  POTTSTOWN, 2020-01-14 @ 23:22:36, 2020-01-14 , 23:22:36
SPRING ALY;  NORRISTOWN; 2020-01-14 @ 23:30:25,19401,EMS: ASSAULT VICTIM,SPRING ALY,  NORRISTOWN, 2020-01-14 @ 23:30:25, 2020-01-14 , 23:30:25
SPRUCE ST & GRADY ALY;  NORRISTOWN; 2020-01-14 @ 23:30:25,19401,EMS: ASSAULT VICTIM,SPRUCE ST & GRADY ALY,  NORRISTOWN, 2020-01-14 @ 23:30:25, 2020-01-14 , 23:30:25
HOPWOOD RD & MORGAN LN; UPPER PROVIDENCE; 2020-01-15 @ 00:00:13,19426,Fire: CARDIAC ARREST,HOPWOOD RD & MORGAN LN, UPPER PROVIDENCE, 2020-01-15 @ 00:00:13, 2020-01-15 , 00:00:13
HOPWOOD RD & MORGAN LN;  UPPER PROVIDENCE; 2020-01-14 @ 23:59:08,19426,EMS: CARDIAC ARREST,HOPWOOD RD & MORGAN LN,  UPPER PROVIDENCE, 2020-01-14 @ 23:59:08, 2020-01-14 , 23:59:08
BUTLER PIKE & CEDAR GROVE RD; PLYMOUTH; 2020-01-15 @ 00:09:07,19428,Fire: FIRE ALARM,BUTLER PIKE & CEDAR GROVE RD, PLYMOUTH, 2020-01-15 @ 00:09:07, 2020-01-15 , 00:09:07
CHESTNUT ST & WISSAHICKON AVE;  AMBLER; 2020-01-15 @ 00:14:10,19002,EMS: ABDOMINAL PAINS,CHESTNUT ST & WISSAHICKON AVE,  AMBLER, 2020-01-15 @ 00:14:10, 2020-01-15 , 00:14:10
TOPAZ DR & CHALET RD;  NEW HANOVER; 2020-01-15 @ 00:25:50,19525,EMS: SEIZURES,TOPAZ DR & CHALET RD,  NEW HANOVER, 2020-01-15 @ 00:25:50, 2020-01-15 , 00:25:50
CROOKED LN & PINE TREE RD;  UPPER MERION; 2020-01-15 @ 00:29:51,19406,EMS: HEAD INJURY,CROOKED LN & PINE TREE RD,  UPPER MERION, 2020-01-15 @ 00:29:51, 2020-01-15 , 00:29:51
EXETER CT & DEAD END;  HORSHAM; 2020-01-15 @ 00:42:42,NA,EMS: UNKNOWN MEDICAL EMERGENCY,EXETER CT & DEAD END,  HORSHAM, 2020-01-15 @ 00:42:42, 2020-01-15 , 00:42:42
PENLLYN BLUE BELL PIKE & VILLAGE CIR;  WHITPAIN; 2020-01-15 @ 01:00:20,19422,EMS: HEAD INJURY,PENLLYN BLUE BELL PIKE & VILLAGE CIR,  WHITPAIN, 2020-01-15 @ 01:00:20, 2020-01-15 , 01:00:20
